city,latd,longd,elevation_m,elevation_ft,population_total,area_total_sq_mi,area_land_sq_mi,area_water_sq_mi,area_total_km2,area_land_km2,area_water_km2,area_water_percent
Adelanto,34.5761111111111,-117.432777777778,875.0,2871.0,31765.0,56.027,56.009,0.018,145.107,145.062,0.046,0.03
AgouraHills,34.1533333333333,-118.761666666667,281.0,922.0,20330.0,7.822,7.793,0.029,20.26,20.184,0.076,0.37
Alameda,37.7561111111111,-122.274444444444,,33.0,75467.0,22.96,10.611,12.349,59.465,27.482,31.983,
Albany,37.8869444444444,-122.297777777778,,43.0,18969.0,5.465,1.788,3.677,14.155,4.632,9.524,
Alhambra,34.0819444444444,-118.135,150.0,492.0,83089.0,7.632,7.631,0.001,19.766,19.763,0.003,
AlisoViejo,33.575,-117.725555555556,127.0,417.0,47823.0,7.472,7.472,0.0,19.352,19.352,0.0,0.0
Alturas,41.4872222222222,-120.5425,1332.0,4370.0,2827.0,2.449,2.435,0.014,6.342,6.306,0.036,0.57
AmadorCity,38.4194444444444,-120.824166666667,280.0,919.0,185.0,0.314,0.314,0.0,0.813,0.813,0.0,0.0
AmericanCanyon,38.1680555555556,-122.2525,14.0,46.0,19454.0,4.845,4.837,0.008,12.548,12.527,0.021,0.17
Anaheim,33.8361111111111,-117.889722222222,48.0,157.0,336000.0,50.811,49.835,0.976,131.6,129.073,2.527,1.92
Anderson,40.4522222222222,-122.296666666667,132.0,430.0,9932.0,6.62,6.372,0.248,17.145,16.504,0.642,3.74
AngelsCamp,38.0683333333333,-120.539722222222,420.0,1378.0,3836.0,3.637,3.628,0.009,9.421,9.397,0.024,0.25
Antioch,38.005,-121.805833333333,13.0,43.0,107100.0,29.083,28.349,0.734,75.324,73.422,1.902,2.52
AppleValley,34.5166666666667,-117.216666666667,898.0,2946.0,69135.0,73.523,73.193,0.33,190.426,189.57,0.856,0.45
Arcadia,34.1327777777778,-118.036388888889,147.0,482.0,56364.0,11.133,10.925,0.208,28.836,28.296,0.54,1.87
Arcata,40.8663888888889,-124.082777777778,,23.0,17231.0,10.994,9.097,1.897,28.473,23.561,4.912,17.25
ArroyoGrande,35.1208333333333,-120.586666666667,36.0,118.0,17716.0,5.835,5.835,0.0,15.113,15.113,0.0,0.0
Artesia,33.8672222222222,-118.080555555556,16.0,52.0,16522.0,1.621,1.621,0.0,4.197,4.197,0.0,0.0
Arvin,35.2091666666667,-118.828333333333,137.0,449.0,19304.0,4.819,4.819,0.0,12.482,12.482,0.0,0.0
Atascadero,35.4841666666667,-120.6725,268.0,879.0,28310.0,26.13,25.641,0.489,67.675,66.409,1.265,1.87
Atherton,37.4586111111111,-122.2,18.0,59.0,6914.0,5.049,5.017,0.032,13.076,12.993,0.082,0.63
Atwater,37.3477777777778,-120.609166666667,46.0,151.0,28168.0,6.096,6.087,0.009,15.788,15.766,0.022,0.14
Auburn,38.8986111111111,-121.074444444444,374.0,1227.0,13330.0,7.166,7.138,0.028,18.56,18.488,0.071,0.38
Avalon,,,,,,,,,,,,
Avenal,,,,,,,,,,,,
Azusa,34.1305555555556,-117.906944444444,186.0,610.0,46361.0,9.669,9.656,0.013,25.042,25.01,0.032,0.13
Bakersfield,35.3666666666667,,,404.0,347483.0,143.609,142.164,1.445,371.946,368.204,3.742,
BaldwinPark,34.0827777777778,,114.0,374.0,75390.0,6.786,6.631,0.155,17.575,17.174,0.4,
Banning,33.9316666666667,,716.0,2349.0,29603.0,23.099,23.099,0.0,59.826,59.826,0.0,0.0
Barstow,34.9,-117.016666666667,664.0,2178.0,22639.0,41.394,41.385,0.009,107.209,107.186,0.023,0.02
Beaumont,33.9241666666667,-116.973611111111,796.0,2612.0,36877.0,30.926,30.912,0.014,80.098,80.062,0.036,0.04
Bell,33.9833333333333,-118.183333333333,43.0,141.0,35477.0,2.62,2.501,0.119,6.783,6.476,0.307,4.53
Bellflower,33.8880555555556,-118.1275,22.0,71.0,76616.0,6.17,6.117,0.053,15.981,15.843,0.138,0.86
BellGardens,33.9680555555556,-118.156111111111,37.0,121.0,42072.0,2.463,2.459,0.004,6.379,6.368,0.012,0.18
Belmont,37.5180555555556,-122.291666666667,13.0,43.0,25835.0,4.63,4.621,0.009,11.992,11.97,0.022,0.19
Belvedere,37.8727777777778,-122.464444444444,11.0,36.0,2068.0,2.406,0.519,1.887,6.234,1.345,4.889,78.42
Benicia,38.0633333333333,-122.156111111111,8.0,26.0,26997.0,15.72,12.929,2.791,40.714,33.486,7.229,17.75
Berkeley,37.8716666666667,-122.272777777778,200.0,660.0,112580.0,17.696,10.47,7.226,45.833,27.118,18.716,40.83
BeverlyHills,34.0730555555556,-118.399444444444,79.0,259.0,34290.0,5.71,5.708,0.002,14.79,14.784,0.006,0.04
BigBearLake,34.2413888888889,-116.903333333333,2058.0,6752.0,5019.0,6.534,6.346,0.188,16.923,16.435,0.488,2.88
Biggs,39.4138888888889,-121.710277777778,30.0,98.0,1707.0,0.636,0.636,0.0,1.646,1.646,0.0,0.0
Bishop,37.3635,-118.3951,,4150.0,3879.0,1.911,1.864,0.047,4.949,4.827,0.122,2.5
BlueLake,40.8827777777778,-123.983888888889,40.0,131.0,1253.0,0.622,0.592,0.03,1.61,1.533,0.077,4.8
Blythe,33.6102777777778,-114.596388888889,83.0,272.0,20817.0,26.972,26.189,0.783,69.855,67.828,2.027,2.9
Bradbury,34.1494444444444,-117.974444444444,206.0,676.0,1048.0,1.958,1.957,0.001,5.073,5.07,0.003,0.06
Brawley,32.9786111111111,-115.530277777778,-34.0,-112.0,24953.0,7.682,7.682,0.0,19.895,19.895,0.0,0.0
Brea,,-117.888888888889,110.0,361.0,39282.0,12.109,12.078,0.031,31.363,31.283,0.08,0.26
Brentwood,,,,79.0,51481.0,14.805,14.786,0.019,38.345,38.295,0.049,
Brisbane,,,33.0,108.0,4282.0,20.077,3.096,16.981,51.999,8.017,43.981,
Buellton,34.6141666666667,,109.0,358.0,4828.0,1.583,1.582,0.001,4.099,4.098,0.002,0.04
BuenaPark,33.8561111111111,,23.0,75.0,80530.0,10.553,10.524,0.029,27.332,27.257,0.075,0.28
Burbank,34.1802777777778,-118.328333333333,185.0,607.0,103340.0,17.379,17.341,0.038,45.011,44.913,0.098,0.22
Burlingame,37.5833333333333,-122.363611111111,12.0,39.0,28806.0,6.057,4.406,1.651,15.686,11.411,4.275,27.25
Calabasas,34.1383333333333,-118.660833333333,243.0,5.0,23058.0,13.3,13.249,0.051,34.4,34.27,0.131,0.38
Calexico,32.6788888888889,-115.498888888889,,3.0,38572.0,8.391,8.391,0.0,21.733,21.733,0.0,0.0
CaliforniaCity,35.1258333333333,-117.985833333333,733.0,2405.0,14120.0,203.631,203.523,0.108,527.401,527.122,0.279,0.05
Calimesa,33.9880555555556,-117.043055555556,729.0,2392.0,7879.0,14.847,14.847,0.0,38.454,38.454,0.0,0.0
